id,created_at,full_text,year,Bad
1821544444,Sun May 17 00:29:37 +0000 2009,#dnd tip: Build some background into your magic items. Where did that sword come from? How did it get to the dragons hoard?,2009,
1826466586,Sun May 17 15:34:43 +0000 2009,#dnd tip: You don't always have to use wet erase mats or dwarven forge or dungeon tiles separately. Mix them together. Be a kid again!,2009,
1830322046,Sun May 17 23:35:40 +0000 2009,#dnd tip: Gnoll minis can make decent Rakshasa minis when you don't want to spend a mint on the Rakshasa minis. Cat warriors too.,2009,
1834804367,Mon May 18 11:15:26 +0000 2009,#dnd tip: A black cloth tablecloth works well to hold dungeon tiles in place and doesn't distract from the map. Nice for bottomless chasms.,2009,
1841280487,Mon May 18 23:30:32 +0000 2009,"#dnd tip: A few short skill challenges can show the players progress through a long journey. ""Remember that time back at the Lake of Fire?""",2009,
1846054896,Tue May 19 10:53:04 +0000 2009,#dnd tip: Don't underestimate a good ad-hoc skill challenge. What's the situation? What's the goal? What happens on success or failure?,2009,
1852494780,Tue May 19 22:35:04 +0000 2009,"#dnd tip: Don't burn paper, soak it, and then microwave it. It will catch fire again and burn your house down. Learned the hard way. #dnd",2009,
1858331084,Wed May 20 11:46:55 +0000 2009,#dnd tip: A cut up black t-shirt can make a great fog of war for your dwarven forge layout.,2009,
1863570169,Wed May 20 21:07:38 +0000 2009,#dnd tip: reskin one of your big bad evil guys with stats from a Monster Manual 2 beast to see how it plays out.,2009,
1876062905,Thu May 21 22:30:37 +0000 2009,"#dnd tip: Want to get your warped D&D miniatures straightened? Put them in boiling water, straighten them, and put them in bowl of ice water",2009,
1881678318,Fri May 22 12:17:38 +0000 2009,#dnd tip: Game going long? Distribute loot and exp in email between games. Add some good background or flavor text too.,2009,
1887775593,Fri May 22 22:55:10 +0000 2009,#dnd tip: Make skill challenge failure interesting and an opportunity for something new.,2009,
1893844090,Sat May 23 15:14:42 +0000 2009,#dnd tip: Sudoku puzzles with runes or sigils instead of numbers can make for fun arcanic puzzles provided you have a player good at sudoku.,2009,
